Fault,HorizontalRadius,VerticalRadius,InfluenceDistance,incLength,colour
Fault_7436,12748.854541391791,12748.854541391791,6374.4272706958955,22331.18439912715,#442082
Fault_7439,22029.86870536662,22029.86870536662,11014.93435268331,35787.86694888726,#3cfde6
Fault_2235,10482.438755555148,10482.438755555148,5241.219377777574,16989.768509576257,#f1c26b
Fault_2248,4609.83284019074,4609.83284019074,2304.91642009537,7387.709105978989,#30f90e
Fault_2843,5250.770253595701,5250.770253595701,2625.3851267978507,8632.08103920742,#c7dd01
Fault_2997,9193.775171089808,9193.775171089808,4596.887585544904,15267.44774208254,#e48875
Fault_3496,13798.770008863541,13798.770008863541,6899.3850044317705,22932.719285371437,#34a20f
Fault_3498,9801.101917761947,9801.101917761947,4900.550958880974,15732.144627262298,#0b0d04
Fault_5993,4699.922836087481,4699.922836087481,2349.9614180437407,7933.872135497612,#c36ed8
Fault_7099,4216.509623737605,4216.509623737605,2108.2548118688023,6756.903097909562,#0e71e0
Fault_10762,4465.834175975845,4465.834175975845,2232.9170879879225,7200.707440986857,#fd77b0
Fault_12647,11865.977304425049,11865.977304425049,5932.988652212524,19299.24087937287,#7670eb
Fault_12658,9500.029068343514,9500.029068343514,4750.014534171757,16737.845818582584,#940bd5
Fault_12660,3403.75886271374,3403.75886271374,1701.87943135687,5454.516842581678,#335f97
Fault_14378,6442.079915319293,6442.079915319293,3221.0399576596465,10411.362079003886,#3daad8
Fault_16769,3942.091326324776,3942.091326324776,1971.045663162388,6348.551381382391,#619b91
