X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
537046.7646021981,7490731.203805591,Fault_7439,331,159,202.13533612256904
524401.866697745,7484311.205048692,Fault_2235,13,2,54.71580041869643
524112.3825181314,7484628.492515986,Fault_2235,10,2,234.71580041869643
523227.1550957014,7485691.224954087,Fault_2235,533,134,54.71580041869643
522226.3303362894,7487633.670796064,Fault_2235,656,203,54.71580041869643
521166.34065112233,7489218.227346819,Fault_2235,10,1,54.71580041869643
516810.97132595413,7495902.173419985,Fault_2235,1894,1048.2438755555147,54.71580041869643
522410.2323590778,7512137.019479184,Fault_2248,9,0,228.8870199585237
521136.2040793178,7513438.692796785,Fault_2248,1092,88,228.8870199585237
521136.2040793178,7513438.692796785,Fault_2248,-1024,80,48.887019958523695
520477.4583907652,7514222.175051484,Fault_2248,1023,68,48.887019958523695
520477.4583907652,7514222.175051484,Fault_2248,-847,56,228.8870199585237
519417.7322289855,7515478.928687432,Fault_2248,-742,4,228.8870199585237
516408.0477275356,7498689.684731634,Fault_2843,589,525.0770253595701,59.32948657536088
517046.1159568411,7498061.573232298,Fault_2843,1282,525.0770253595701,59.32948657536088
517515.03954952856,7497623.461603942,Fault_2843,1414,525.0770253595701,59.32948657536088
544307.7009709796,7491692.638204272,Fault_2997,386,79,219.1048647422657
544096.2319441242,7491917.18636764,Fault_2997,261,59,219.1048647422657
543752.3696961959,7492222.851958401,Fault_2997,224,39,219.1048647422657
543147.1098549506,7492663.963172542,Fault_2997,10,0,219.1048647422657
541296.768512412,7493636.112274465,Fault_2997,687,205,219.1048647422657
532506.0249999486,7486149.327272644,Fault_3496,9,8,55.701468332421726
531837.0898258123,7487073.865032861,Fault_3496,10,8,55.701468332421726
530163.5341764191,7489563.8209636025,Fault_3496,-3252,1085,235.7014683324217
525325.505628057,7499021.226343844,Fault_3496,10,1,55.701468332421726
523030.67531095765,7501448.433077919,Fault_3496,984,56,55.701468332421726
522395.9013795352,7501938.481481321,Fault_3496,143,28,55.701468332421726
538705.4244229305,7492846.635833018,Fault_3498,612,316,233.45748321343854
534323.1113282444,7499015.00176838,Fault_3498,-197,28,233.45748321343854
533028.5078386215,7500865.5447231885,Fault_3498,415,129,53.457483213438536
532905.6167448963,7501137.697782937,Fault_3498,171,55,53.457483213438536
532609.6850628131,7501499.134679069,Fault_3498,-148,55,233.45748321343854
532095.0758472775,7502195.977325934,Fault_3498,446,145,53.457483213438536
530809.6797610357,7503528.990286234,Fault_3498,368,112,53.457483213438536
530311.8336132559,7504047.288592443,Fault_3498,185,57,53.457483213438536
542707.3904933011,7490597.373729199,Fault_5993,10,0,232.15096703298798
542517.7695477483,7490842.760856229,Fault_5993,9,0,232.15096703298798
542373.611228739,7491121.096265103,Fault_5993,10,0,232.15096703298798
542184.2276158573,7491702.945676575,Fault_5993,234,78,232.15096703298798
519311.7885439947,7486674.03546105,Fault_7099,417,183,49.55815569578525
520544.2515607681,7485206.71169669,Fault_7099,9,0,49.55815569578525
522017.6055133513,7483630.255254749,Fault_7099,322,147,49.55815569578525
520807.88345751597,7483226.614642705,Fault_10762,407,194,36.70173896012662
519367.0179990472,7484631.966606921,Fault_10762,326,149,36.70173896012662
517343.1510058386,7486066.428644905,Fault_10762,316,138,36.70173896012662
521226.7437436528,7501019.348697659,Fault_12647,18,3,56.97129327251198
522503.25198415585,7499743.033783241,Fault_12647,20,3,56.97129327251198
523309.28422204504,7498610.73675247,Fault_12647,-321,48,236.97129327251199
527745.9128882674,7489922.04405272,Fault_12647,1979,1091,56.97129327251198
528916.6969754916,7488164.817928361,Fault_12647,1034,658,56.97129327251198
529433.553626319,7487321.161513795,Fault_12647,-334,299,236.97129327251199
547112.3503881877,7512135.730698762,Fault_12658,-11,0,246.114216183516
547548.4639247764,7511690.381150669,Fault_12658,10,0,66.11421618351599
547839.1562207233,7511331.608008403,Fault_12658,-347,43,246.114216183516
548249.1622016816,7510780.316033875,Fault_12658,-239,34,246.114216183516
518952.95844258385,7509329.72002614,Fault_12660,1418,340.37588627137404,187.1856784175925
519431.7841002235,7509260.590957547,Fault_12660,1383,340,187.1856784175925
516593.87386186165,7502955.2027313365,Fault_14378,-650,644.2079915319293,61.338622843833456
516877.2340539912,7502579.885596918,Fault_14378,-781,644.2079915319293,61.338622843833456
517462.54061528476,7501864.779280794,Fault_14378,-380,381,241.33862284383346
517887.68713601766,7501227.408170024,Fault_14378,-141,138,241.33862284383346
518843.60105918435,7499933.980280012,Fault_14378,-264,249,241.33862284383346
518964.04012446385,7499545.462775478,Fault_14378,-192,180,241.33862284383346
519111.79645346996,7499068.717316837,Fault_14378,-285,263,241.33862284383346
519265.1859592209,7498661.066806187,Fault_14378,-316,266,241.33862284383346
519808.6602302139,7497367.688669377,Fault_14378,-1263,644.2079915319293,241.33862284383346
521639.1833995496,7512408.575856849,Fault_16769,-1419,79,13.37373269619104
520943.56713119976,7512616.278690749,Fault_16769,-1424,62,13.37373269619104
519565.4378670689,7512973.155192298,Fault_16769,729,43,13.37373269619104
518569.43815283285,7513178.436372413,Fault_16769,1016,88,13.37373269619104
517443.48883386067,7513375.993261564,Fault_16769,1412,394.20913263247763,193.37373269619104
538468.26221117,7480515.58826357,Fault_7436,1,1,1
524662.73130987,7480154.44913802,Fault_7436,1,1,1
545000.01970581,7478579.67025788,Fault_7436,1,1,1
