X,Y,Z,formation
524662.73130987,7480154.44913802,387.68615277080124,Fault_7436
529827.91051599,7480963.48990523,427.7744403503183,Fault_7436
537775.93181324,7480703.57045699,454.290561549662,Fault_7436
538468.26221117,7480515.58826357,444.0449215562264,Fault_7436
540899.98049524,7481030.66038642,473.01209931665585,Fault_7436
543539.54005779,7479775.1787106,478.15473854296323,Fault_7436
545000.01970581,7478579.67025788,461.5811572412387,Fault_7436
560124.94518343,7479717.8142949,645.0952385344327,Fault_7439
557462.72921041,7481615.29104849,599.0433288032285,Fault_7439
551340.35883734,7485626.33762911,552.3165855856029,Fault_7439
546577.26028642,7487345.218131,628.8956535239711,Fault_7439
542571.51239981,7488831.16066893,645.8489004195262,Fault_7439
541734.62845792,7489299.55409792,636.4366518172908,Fault_7439
537397.37114626,7490660.1112043,505.0396788155884,Fault_7439
532258.33258664,7491872.06228827,517.7455471175782,Fault_7439
528389.75359679,7492771.53282839,495.29263401430586,Fault_7439
527475.04337437,7492999.02684152,478.66023036877357,Fault_7439
525375.30636128,7483424.96866113,413.1924334753324,Fault_2235
522902.44986615,7486302.46332054,453.5304009224976,Fault_2235
521224.2899599,7489118.45021574,516.3951685498606,Fault_2235
520689.08119362,7490139.43572196,522.0021011929529,Fault_2235
518943.53730775,7493598.92878699,515.4634952709691,Fault_2235
516855.68842699,7495863.41167651,533.9530138180695,Fault_2235
515687.31005864,7497115.820520521,565.7458388030251,Fault_2235
522843.71380063,7511577.4211285,581.7807489301413,Fault_2248
520542.46265294,7514160.96857664,600.269530992332,Fault_2248
519041.14193347,7515922.43816204,607.1852620730563,Fault_2248
517993.83077814,7517134.40459377,577.3666800583056,Fault_2248
515687.31005864,7499279.464208024,553.5164767109791,Fault_2843
516399.80081338,7498690.9206743,593.4457587497977,Fault_2843
517453.48725954,7497683.89853831,531.7850596797123,Fault_2843
517473.77941979,7497665.42163345,532.1048628896975,Fault_2843
519033.60405131,7495151.43264908,524.131734949401,Fault_2843
519972.78154691,7492053.43901718,515.518200505395,Fault_2843
545893.98244059,7489525.86523723,669.6292495272747,Fault_2997
544585.5114451,7491365.67175768,673.3872185160558,Fault_2997
543815.63934849,7492181.65231903,587.2045036406344,Fault_2997
541963.19163038,7493283.13978594,554.6864577406741,Fault_2997
541373.25980024,7493585.6289696,528.3321117510044,Fault_2997
539028.58285976,7496659.63465747,483.70370276710975,Fault_2997
536416.39474816,7498309.60412959,493.78922516128966,Fault_2997
534479.09627295,7498804.10098736,512.9970663790563,Fault_2997
534630.34441964,7483865.05492077,434.0094611634413,Fault_3496
532580.79170147,7486055.071734,454.8801698423466,Fault_3496
529932.98886084,7489804.02599761,468.67729853299863,Fault_3496
527088.25041356,7493236.51080705,480.1025002120009,Fault_3496
526241.48968922,7494361.51259949,470.8261168659845,Fault_3496
525855.19764379,7496044.01467372,489.4975021684567,Fault_3496
524596.27588008,7500098.51540907,543.2412126497013,Fault_3496
523576.8901202,7501033.50114164,661.273566550511,Fault_3496
522189.26567998,7502103.99834995,545.72278143473,Fault_3496
539513.18738029,7491597.13566214,556.7050362149016,Fault_3498
536570.44569593,7495941.11459244,478.049192273508,Fault_3498
533038.92839015,7500854.6003846,543.0501965266477,Fault_3498
