X,Y,Z,azimuth,dip,polarity,formation
544642.29382006,7487591.03977592,609.9531673839402,385.0,40,1,Marra_Mamba_Iron_Formation
542483.22581806,7481908.32718671,474.44263481662495,365.0,60,1,Hardey_Formation
545142.14967586,7476403.27956483,482.54464583608734,435.0,35,1,Hardey_Formation
544589.0465898,7474660.25852222,460.26393982906336,180.0,45,1,Rocklea_Inlier_greenstones
542937.75226114,7480363.89112035,474.51771924801113,385.0,65,1,Rocklea_Inlier_greenstones
530515.15279646,7485813.61808323,416.99376456864064,370.0,60,1,Hardey_Formation
535257.61161618,7499029.61466975,511.02926461376296,360.0,40,1,Jeerinah_Formation
529653.28479411,7489335.50974713,473.3826832989128,380.0,33,1,Pyradie_Formation
534215.35909713,7482401.7956682,438.23865640780417,368.0,58,1,Rocklea_Inlier_greenstones
534647.38303052,7483231.0647016,443.9116175166131,378.0,62,1,Hardey_Formation
542798.44862517,7481931.79983939,473.24750881833825,388.0,60,1,Hardey_Formation
521454.19247432,7476047.70487103,373.94563245690193,245.0,18,1,Hardey_Formation
530225.44994657,7485223.06415469,416.43538812854115,365.0,55,1,Hardey_Formation
529573.78256421,7483273.83183819,423.5920863553608,335.0,30,1,Rocklea_Inlier_greenstones
531138.18012836,7486699.0561047,427.7279236287495,400.0,70,1,Boongal_Formation
548279.32061205,7493304.27929258,549.5689854501512,190.0,50,1,Jeerinah_Formation
548279.32061205,7493304.27929258,549.5689854501512,190.0,55,1,Jeerinah_Formation
541013.16039186,7493387.43930108,533.5868962158336,150.0,28,1,Bunjinah_Formation
523931.74116463,7473700.519519,387.18697153061805,420.0,30,1,Hardey_Formation
523931.74116463,7473700.519519,387.18697153061805,235.0,29,1,Hardey_Formation
536742.23216759,7490698.33941677,492.6027609530943,110.0,28,1,Bunjinah_Formation
548249.15588261,7493512.48955459,542.6187340573862,190.0,50,1,Jeerinah_Formation
548249.15588261,7493512.48955459,542.6187340573862,190.0,55,1,Jeerinah_Formation
523989.54366251,7500823.54711461,644.5427375401765,355.0,63,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544579.16360669,7477239.62658042,455.66162933742925,105.0,25,1,Rocklea_Inlier_metagranitic_unit
544816.76522296,7476376.5664788,456.1692359831205,435.0,21,1,Hardey_Formation
537199.09563866,7490607.57099584,495.1890482638811,110.0,28,1,Jeerinah_Formation
532678.47755966,7488131.60125304,462.27419601382513,385.0,25,1,Pyradie_Formation
543234.97739865,7505326.76715363,597.6488942293901,330.0,15,1,Jeerinah_Formation
543754.18068029,7504599.12601575,554.9067610546614,330.0,15,1,Jeerinah_Formation
530221.47809184,7485474.50627725,419.1339584368091,368.0,55,1,Hardey_Formation
532604.36997523,7483996.51451291,424.11594021649125,370.0,40,1,Hardey_Formation
522143.04755332,7478175.84114015,400.615015081461,93.0,30,1,Hardey_Formation
522441.04068434,7500496.57253559,590.3195892781824,163.0,29,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
521969.86148165,7509447.16831663,572.6954476579393,365.0,52,1,Brockman_Iron_Formation
530017.15473598,7517395.42335177,650.7661227675508,391.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
536743.75189579,7516699.94325734,764.2755169613145,169.0,25,1,Brockman_Iron_Formation
536864.3112146,7516486.44006065,734.7366658111914,381.0,54,1,Brockman_Iron_Formation
537236.7510334,7516781.94098479,749.35371456641,393.0,19,1,Brockman_Iron_Formation
535856.33026169,7512629.90191351,666.8638094055715,383.0,32,1,Brockman_Iron_Formation
538825.16687886,7511863.37365568,677.9501705928193,371.0,9,1,Brockman_Iron_Formation
541065.40971783,7507289.30875077,723.8353224001239,137.0,26,1,Brockman_Iron_Formation
528702.09351822,7500732.15020471,565.7227698801324,110.0,41,1,Jeerinah_Formation
535346.60929794,7499105.69666818,511.3559097765019,175.0,40,1,Jeerinah_Formation
542840.13190584,7483390.16323959,514.6292556188719,374.0,35,1,Boongal_Formation
525820.9460544,7481790.42211218,399.57889376881917,151.0,20,1,Hardey_Formation
545223.01655008,7475727.05264709,456.2755212497486,436.0,35,1,Hardey_Formation
549386.04743933,7474527.11731595,463.379389577516,435.0,10,1,Fortescue_Group
547742.67588526,7479703.67071575,486.5230930661124,409.0,25,1,Hardey_Formation
545836.49343094,7478148.11843409,466.3152223898164,428.0,15,1,Hardey_Formation
550629.45033249,7482157.73377273,525.3503170233095,390.0,46,1,Pyradie_Formation
553784.61691641,7482787.75940606,516.6802518712717,390.0,40,1,Jeerinah_Formation
555570.30909452,7486441.29580547,553.7278477878846,382.0,50,1,Boolgeeda_Iron_Formation
554912.99402906,7485625.28562051,552.9851207417296,384.0,70,1,Weeli_Wolli_Formation
544406.7446958,7485143.19779223,530.9132315227525,379.0,50,1,Bunjinah_Formation
559180.0624804,7491409.85808041,587.4747638623005,168.0,48,1,Weeli_Wolli_Formation
554304.93348599,7496947.32598323,568.8848815652384,168.0,35,1,Jeerinah_Formation
545557.03288211,7494696.21808249,530.5737326588547,362.0,15,1,Jeerinah_Formation
560867.20522126,7497862.36187853,617.1307859372095,366.0,10,1,Fortescue_Group
562663.9448064,7506741.50979555,708.2480224237219,430.0,11,1,Bunjinah_Formation
544921.82941261,7514333.36252441,729.0528388996959,440.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544708.19918899,7514108.86119291,752.9034521653765,400.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547332.06601078,7516113.86829699,763.8852062239838,127.0,28,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547704.52567933,7513884.34170986,636.6605328635069,365.0,34,1,Wittenoom_Formation
554929.61134409,7515160.85629446,619.6853627575849,150.0,15,1,Jeerinah_Formation
548756.28656105,7517165.36829682,686.3489666341246,172.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
552049.052402,7487780.78569838,555.8371797171658,390.0,28,1,Boolgeeda_Iron_Formation
547640.63848022,7513734.467746,645.6840823375442,184.0,34,1,Marra_Mamba_Iron_Formation
538617.61984384,7511806.72349882,661.1201196258855,191.0,9,1,Brockman_Iron_Formation
538806.02756515,7483993.09306394,515.4779081114316,370.0,63,1,Hardey_Formation
548578.04664895,7517242.93275268,708.0371354926416,174.0,25,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
562613.59447835,7506579.00298373,738.8577464256223,250.0,11,1,Bunjinah_Formation
535859.02692715,7512398.30549352,679.3123656180957,201.0,32,1,Brockman_Iron_Formation
542344.84155478,7481763.35785815,477.42839051761035,365.0,60,1,Hardey_Formation
552049.052402,7487780.78569838,555.8371797171658,390.0,80,1,Boolgeeda_Iron_Formation
545003.74120558,7476258.34758436,471.908821200676,435.0,35,1,Hardey_Formation
547242.81740116,7516046.24923983,771.653124111323,305.0,28,1,Wittenoom_Formation
552075.59216311,7487793.53622728,553.7618270423565,390.0,28,1,Boolgeeda_Iron_Formation
534509.05712922,7483086.09249821,453.21391348061775,378.0,62,1,Rocklea_Inlier_greenstones
536729.5649796,7516597.33613236,758.357639756154,348.0,25,1,Brockman_Iron_Formation
546137.8575609,7494606.69912057,534.1662324096171,360.0,15,1,Jeerinah_Formation
540038.91207275,7506751.82918475,656.1556174143511,338.0,28,1,Brockman_Iron_Formation
529955.11858467,7517212.37448649,661.6219089966112,211.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
537101.10259263,7516513.64798743,755.2810435428129,388.0,19,1,Brockman_Iron_Formation
552075.59216311,7487793.53622728,553.7618270423565,390.0,80,1,Boolgeeda_Iron_Formation
521796.72185923,7509376.56236277,572.4922698064655,181.0,52,1,Brockman_Iron_Formation
553087.89226931,7484583.49215226,512.0797773272727,420.0,64,1,Marra_Mamba_Iron_Formation
544671.5774674,7513917.04057533,740.7710135197042,219.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
539933.7822252,7483374.35640366,463.2630423168725,385.0,60,1,Hardey_Formation
521993.39933415,7508834.9892679,555.6880083419403,171.0,60,1,Weeli_Wolli_Formation
542660.06207832,7481786.83007108,473.7125845489299,388.0,60,1,Hardey_Formation
544608.89803516,7514084.37259684,780.3373479714492,442.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
553113.25097797,7484612.18583151,513.1687058050027,240.0,64,1,Marra_Mamba_Iron_Formation
544512.13000453,7514096.8288444,815.6122342829613,405.0,26,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529219.05316166,7512991.48314111,669.5845011506505,230.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
534077.03565985,7482256.82978454,437.0737311676673,368.0,58,1,Rocklea_Inlier_greenstones
536789.57090088,7516217.95425832,742.0798732545643,200.0,54,1,Brockman_Iron_Formation
560770.73473289,7497966.2030757,622.54274008324,190.0,10,1,Fortescue_Group
537020.13400936,7516172.5715585,748.9380775668524,181.0,24,1,Brockman_Iron_Formation
559881.96804876,7490671.20867738,601.0362465803742,185.0,50,1,Boolgeeda_Iron_Formation
