GROUP_,id,x,y,z,code
Hamersley Group,17014,516489.10989085,7497660.42043624,573.6109844017892,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516265.41816958,7497432.42149587,573.4042852509883,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515863.18009091,7497103.4211183,588.3495561601229,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515793.12893132,7497078.39958474,579.6768422048509,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515754.79905719,7497040.40949866,575.3002728193103,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516885.9020886,7498199.42979174,611.4993159778261,Marra_Mamba_Iron_Formation
Hamersley Group,17014,516642.61860186,7497850.43077794,578.2782304825906,Marra_Mamba_Iron_Formation
Hamersley Group,17014,515687.31005864,7509097.518641549,552.9137782904331,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,515748.54034869,7509100.438181,552.5084243654215,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516262.53936959,7509100.43806853,557.0428892042846,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516923.33080682,7509295.9608854,568.1241041196544,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517412.83945165,7509467.4519531,585.2968198930728,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517524.07836862,7509517.96063803,582.761144852379,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,517746.86032914,7509496.46857439,586.9334559376102,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,17014,516446.69074214,7498643.43120897,595.5994769161612,Wittenoom_Formation
Hamersley Group,17014,516091.26101893,7498037.4066574,540.9506491227396,Wittenoom_Formation
Hamersley Group,17014,515870.97036341,7497621.41056542,543.238872829151,Wittenoom_Formation
Fortescue Group,17014,518681.60040596,7513163.46024486,574.9604981020448,Jeerinah_Formation
Fortescue Group,17014,518597.55798434,7513057.96216531,568.9465111711007,Jeerinah_Formation
Fortescue Group,17014,517979.09087702,7512723.94780965,561.4177159130022,Jeerinah_Formation
Fortescue Group,17014,517686.16148127,7512642.96193342,558.8516423561351,Jeerinah_Formation
Fortescue Group,17014,517399.70008392,7512574.4402027,557.066880547849,Jeerinah_Formation
Fortescue Group,17014,516992.42933514,7512525.43801538,553.905366156125,Jeerinah_Formation
Fortescue Group,17014,516623.33205995,7512470.43085224,550.5332815856345,Jeerinah_Formation
Fortescue Group,17014,515897.4702875,7512289.9319904,550.6742579244486,Jeerinah_Formation
Fortescue Group,17014,515687.31005864,7512669.795848977,542.1372528357103,Jeerinah_Formation
Fortescue Group,17014,515874.1115062,7512722.42905915,541.5202855123991,Jeerinah_Formation
Fortescue Group,17014,516218.10093416,7512841.92869326,550.2907165887456,Jeerinah_Formation
Fortescue Group,17014,516581.10958154,7512947.94203716,556.8257333956216,Jeerinah_Formation
Fortescue Group,17014,516950.17910833,7512996.9382229,559.6691363976558,Jeerinah_Formation
Fortescue Group,17014,517211.34105542,7513084.44139818,558.2652092896793,Jeerinah_Formation
Fortescue Group,17014,517453.79081256,7513254.94145467,558.2779051915878,Jeerinah_Formation
Fortescue Group,17014,517536.82159765,7513324.44956408,558.5296204170166,Jeerinah_Formation
Fortescue Group,17014,517568.77865671,7513362.4408889,558.6295110251393,Jeerinah_Formation
Hamersley Group,17014,561550.4680921175,7473446.76593407,612.5938262514358,Wittenoom_Formation
Hamersley Group,17014,561563.77134839,7473504.33869078,618.8612786528658,Wittenoom_Formation
Hamersley Group,17014,561907.56077362,7474006.84018401,630.2065238992055,Wittenoom_Formation
Hamersley Group,17014,561881.14954883,7474430.3293834,666.1666364082222,Wittenoom_Formation
Hamersley Group,17014,561616.65086756,7474853.33950081,665.7258027354628,Wittenoom_Formation
Hamersley Group,17014,561219.8783506,7475276.85005153,681.6517667838579,Wittenoom_Formation
Hamersley Group,17014,560928.94053106,7475620.33950817,687.7413230698555,Wittenoom_Formation
Hamersley Group,17014,560770.24145236,7475990.84863353,710.1779641909287,Wittenoom_Formation
Hamersley Group,17014,560638.07073543,7476334.83234116,709.2791789909811,Wittenoom_Formation
