index,group number,index in group,number in group,code,group,strat_type,uctype,colour
0,1,1,1,Turee_Creek_Group,Turee_Creek_Group,sediment,erode,#E0CABF
1,2,1,7,Boolgeeda_Iron_Formation,Hamersley_Group,sediment,erode,#B5E1FC
2,2,2,7,Woongarra_Rhyolite,Hamersley_Group,sediment,erode,#CAA894
3,2,3,7,Weeli_Wolli_Formation,Hamersley_Group,sediment,erode,#E0CABF
4,2,4,7,Brockman_Iron_Formation,Hamersley_Group,sediment,erode,#84CDFA
5,2,5,7,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group,sediment,erode,#B6846A
6,2,6,7,Wittenoom_Formation,Hamersley_Group,sediment,erode,#E0CABF
7,2,7,7,Marra_Mamba_Iron_Formation,Hamersley_Group,sediment,erode,#B5E1FC
8,3,1,7,Jeerinah_Formation,Fortescue_Group,sediment,erode,#DDDFC4
9,3,2,7,Fortescue_Group,Fortescue_Group,sediment,erode,#8EE4B4
10,3,3,7,Bunjinah_Formation,Fortescue_Group,sediment,erode,#E6E7D3
11,3,4,7,Pyradie_Formation,Fortescue_Group,sediment,erode,#D5D7B6
12,3,5,7,Boongal_Formation,Fortescue_Group,sediment,erode,#EEEFE2
13,3,6,7,Hardey_Formation,Fortescue_Group,sediment,erode,#F1D8BD
14,3,7,7,Mount_Roe_Basalt,Fortescue_Group,sediment,erode,#C4C798
15,4,1,1,Rocklea_Inlier_metagranitic_unit,Rocklea_Inlier_metagranitic_unit,sediment,erode,#FE6FB8
