WKT	objectid	feature
LINESTRING (517202.7204659015 7473446.76593407, 516155.31681084 7474354.51174365, 515687.31005864 7474773.047381143)	7344	Fault or shear zone, major
LINESTRING (524662.73130987 7480154.44913802, 525046.50120046 7480304.95969632, 525590.13885675 7480549.45773494, 526736.96184937 7480922.95966262, 529856.88747434 7481720.47954789, 529827.91051599 7480963.48990523, 531488.10806683 7481043.48909377, 533085.2699609899 7481251.00100287, 534592.61076391 7481281.00779135, 536441.71919303 7480978.03134904, 537775.9318132401 7480703.57045699, 538468.26221117 7480515.58826357, 538902.02006777 7480793.10108062, 539450.06928267 7481044.61925155, 540092.7888113901 7481117.63171911, 540899.98049524 7481030.66038642, 541528.28853057 7480753.66789409, 542003.92130431 7480483.66054976, 542810.1686016 7480186.17231369, 543273.43074471 7479986.68121437, 543539.54005779 7479775.1787106, 543850.09943871 7479563.17715962, 544323.51875315 7479210.68079693, 545000.01970581 7478579.67025788)	7436	Fault or shear zone, major
LINESTRING (560124.94518343 7479717.8142949, 559565.25959079 7480131.81032142, 558961.61841599 7480662.81018675, 558506.94431588 7480932.37139168, 558166.31841564 7481134.30185048, 557462.72921041 7481615.29104849, 555890.97813197 7482756.78063474, 554199.29073696 7484058.27997833, 553299.0305781401 7484648.28057288, 552461.86938794 7485130.26124902, 551340.35883734 7485626.33762911, 551180.0214967499 7485697.24993663, 549901.13190891 7486170.60512689, 549154.91041516 7486446.74022528, 547917.22212296 7486949.72888485, 546577.26028642 7487345.218131, 544875.02778614 7487774.69125752, 543840.30941933 7488181.17854659, 542571.51239981 7488831.16066893, 541894.31235118 7489210.15968964, 541734.62845792 7489299.55409792, 541239.63983072 7489576.64160983, 539566.5335692801 7489954.74309584, 538311.22557001 7490273.62497534, 537771.61272498 7490461.123314, 537397.3711462599 7490660.1112043, 537143.2393442499 7490712.60994997, 536190.4407036999 7490947.09978482, 534321.30492983 7491059.07179509, 533413.07743435 7491318.5675787, 532258.33258664 7491872.06228827, 531616.53103596 7491977.0449986, 530872.6141028201 7492013.04908816, 530002.6940439499 7492272.54134977, 529240.74798104 7492531.02930639, 528389.75359679 7492771.53282839, 527475.04337437 7492999.02684152)	7439	Fault or shear zone, major
LINESTRING (521224.2899599 7489118.45021574, 520608.10777162 7489268.43948352, 518898.75119522 7489538.42341031)	5471	Fault or shear zone
LINESTRING (520020.69483805 7495438.93368951, 519762.19907704 7495904.93975594, 519433.31787936 7496282.44009632, 519021.35990318 7496577.43004279, 518014.1268507 7497123.75740697, 517847.87960707 7497213.92048382)	962	Fault or shear zone
LINESTRING (517292.7752475817 7473446.76593407, 517093.29470831 7473675.01434086, 516368.42860608 7475034.48169701, 515687.31005864 7476671.522076792)	2229	Fault or shear zone
LINESTRING (525375.30636128 7483424.96866113, 524988.58506172 7483694.46525743, 524381.21466631 7484340.47017183, 523577.77848075 7485223.46214201, 523268.12074711 7485625.95127814, 522902.44986615 7486302.46332054, 522587.88125018 7487010.96030626, 522285.26004105 7487566.45121267, 521735.34533654 7488269.45339421, 521415.01591716 7488743.45192373, 521224.2899599 7489118.45021574, 520689.08119362 7490139.43572196, 520260.74457819 7491109.44596029, 519972.78154691 7492053.43901718, 519550.39040752 7492831.92875539, 518943.53730775 7493598.92878699, 518184.84046494 7494525.92007636, 517804.77017997 7494846.41931665, 517393.62924844 7495306.91982853, 517026.31924961 7495626.90764268, 516855.68842699 7495863.41167651, 516444.34235097 7496285.90853327, 515754.79905719 7497040.40949866, 515687.31005864 7497115.820520521)	2235	Fault or shear zone
LINESTRING (522843.71380063 7511577.4211285, 522667.64324426 7511811.67281953, 522459.5291779 7512088.52096737, 522004.11183369 7512606.52023572, 521206.44805255 7513361.99073525, 520542.46265294 7514160.96857664, 519928.68076875 7514807.45946212, 519637.84378016 7515158.94141297, 519480.05589177 7515414.44067142, 519418.4346492 7515485.76366912, 519041.14193347 7515922.43816204, 517993.83077814 7517134.40459377)	2248	Fault or shear zone
LINESTRING (515687.31005864 7499279.464208024, 515891.7593447 7499082.90846197, 515937.86030956 7499043.41833768, 516084.35138976 7498918.92114254, 516132.40196246 7498877.91262598, 516399.80081338 7498690.9206743, 516446.69074214 7498643.43120897, 516885.9020886 7498199.42979174, 516997.11223369 7498099.42919669, 517453.48725954 7497683.89853831, 517473.77941979 7497665.42163345, 517847.87960707 7497213.92048382, 517992.77992138 7496926.42913488, 518383.93146578 7496275.42011283, 518769.29014774 7495725.92848905, 519033.60405131 7495151.43264908, 519611.79503556 7493709.94373975, 519761.54298451 7493104.43897881, 519879.25178686 7492448.44111527, 519972.78154691 7492053.43901718)	2843	Fault or shear zone
LINESTRING (545893.98244059 7489525.86523723, 545755.50142375 7489723.68135684, 545376.7147522999 7490292.18461711, 544972.20599484 7490816.66864488, 544698.5290464 7491229.16123748, 544585.5114451 7491365.67175768, 544315.0181337401 7491692.17202982, 544278.19980615 7491731.16215295, 544116.74892785 7491902.66123526, 543948.0093154199 7492082.15929203, 543815.63934849 7492181.65231903, 543212.94172121 7492633.64954097, 542578.61935664 7492980.65130643, 542286.88914077 7493141.65162613, 541963.19163038 7493283.13978594, 541373.25980024 7493585.6289696, 540638.12432243 7494130.62800413, 540139.05340998 7494814.13423512, 539420.74387274 7496089.78824517, 539394.93209254 7496135.62297114, 539028.58285976 7496659.63465747, 538598.44607519 7497133.1117222, 538110.6330664899 7497524.11207555, 537533.494343 7497858.11327313, 536981.50944426 7498128.61605469, 536416.39474816 7498309.60412959, 535889.29443311 7498465.10473309, 535476.49000407 7498575.61415051, 534479.0962729499 7498804.10098736)	2997	Fault or shear zone
